CODGEO,CODREG,CODDEP,LIBGEO
01110,84,01,Colomieu
01111,84,01,Conand
01112,84,01,Condamine
01113,84,01,Condeissiat
01114,84,01,Confort
01115,84,01,Confrançon
01116,84,01,Contrevoz
01117,84,01,Conzieu
01118,84,01,Corbonod
01121,84,01,Corlier
01123,84,01,Cormoranche-sur-Saône
01124,84,01,Cormoz
01125,84,01,Corveissiat
01127,84,01,Courmangoux
01128,84,01,Courtes
01129,84,01,Crans
01130,84,01,Bresse Vallons
01133,84,01,Cressin-Rochefort
01134,84,01,Crottet
01135,84,01,Crozet
01136,84,01,Cruzilles-lès-Mépillat
01138,84,01,Culoz-Béon
01139,84,01,Curciat-Dongalon
01140,84,01,Curtafond
01141,84,01,Cuzieu
01142,84,01,Dagneux
01143,84,01,Divonne-les-Bains
01145,84,01,Dompierre-sur-Veyle
01146,84,01,Dompierre-sur-Chalaronne
01147,84,01,Domsure
01148,84,01,Dortan
01149,84,01,Douvres
01150,84,01,Drom
01151,84,01,Druillat
01152,84,01,Échallon
01153,84,01,Échenevex
01155,84,01,Évosges
01156,84,01,Faramans
01157,84,01,Fareins
01158,84,01,Farges
01159,84,01,Feillens
01160,84,01,Ferney-Voltaire
01162,84,01,Flaxieu
01163,84,01,Foissiat
01165,84,01,Francheleins
01166,84,01,Frans
01167,84,01,Garnerans
01169,84,01,Genouilleux
01170,84,01,Béard-Géovreissiat
01171,84,01,Géovreisset
01173,84,01,Gex
01174,84,01,Giron
01175,84,01,Gorrevod
01177,84,01,Grand-Corent
01179,84,01,Grièges
01180,84,01,Grilly
01181,84,01,Groissiat
01183,84,01,Guéreins
01184,84,01,Hautecourt-Romanèche
01185,84,01,Plateau d'Hauteville
01187,84,01,Haut Valromey
01188,84,01,Illiat
01189,84,01,Injoux-Génissiat
01190,84,01,Innimond
01191,84,01,Izenave
01192,84,01,Izernore
01193,84,01,Izieu
01194,84,01,Jassans-Riottier
01195,84,01,Jasseron
01196,84,01,Jayat
01197,84,01,Journans
01198,84,01,Joyeux
01199,84,01,Jujurieux
01200,84,01,Labalme
01202,84,01,Lagnieu
01203,84,01,Laiz
01204,84,01,Le Poizat-Lalleyriat
01206,84,01,Lantenay
01207,84,01,Lapeyrouse
01208,84,01,Lavours
01209,84,01,Léaz
01210,84,01,Lélex
01211,84,01,Lent
01212,84,01,Lescheroux
01213,84,01,Leyment
01214,84,01,Leyssard
01215,84,01,Surjoux-Lhopital
01216,84,01,Lhuis
01219,84,01,Lompnas
01224,84,01,Loyettes
01225,84,01,Lurcy
01227,84,01,Magnieu
01228,84,01,Maillat
01229,84,01,Malafretaz
01230,84,01,Mantenay-Montlin
01231,84,01,Manziat
01232,84,01,Marboz
01233,84,01,Marchamp
01234,84,01,Marignieu
01235,84,01,Marlieux
01236,84,01,Marsonnas
01237,84,01,Martignat
01238,84,01,Massieux
01239,84,01,Massignieu-de-Rives
01240,84,01,Matafelon-Granges
01241,84,01,Meillonnas
01242,84,01,Mérignat
01243,84,01,Messimy-sur-Saône
01244,84,01,Meximieux
01245,84,01,Bohas-Meyriat-Rignat
01246,84,01,Mézériat
01247,84,01,Mijoux
01248,84,01,Mionnay
01249,84,01,Miribel
01250,84,01,Misérieux
01252,84,01,Mogneneins
01254,84,01,Montagnat
01255,84,01,Montagnieu
01257,84,01,Montanges
01258,84,01,Montceaux
01259,84,01,Montcet
01260,84,01,Le Montellier
01261,84,01,Monthieux
01262,84,01,Montluel
01263,84,01,Montmerle-sur-Saône
01264,84,01,Montracol
01265,84,01,Montréal-la-Cluse
01266,84,01,Montrevel-en-Bresse
01267,84,01,Nurieux-Volognat
01268,84,01,Murs-et-Gélignieux
01269,84,01,Nantua
01272,84,01,Neuville-les-Dames
01273,84,01,Neuville-sur-Ain
01274,84,01,Les Neyrolles
01275,84,01,Neyron
01276,84,01,Niévroz
01277,84,01,Nivollet-Montgriffon
01279,84,01,Oncieu
01280,84,01,Ordonnaz
01281,84,01,Ornex
01282,84,01,Outriaz
01283,84,01,Oyonnax
01284,84,01,Ozan
01285,84,01,Parcieux
01286,84,01,Parves et Nattages
01288,84,01,Péron
01289,84,01,Péronnas
01290,84,01,Pérouges
01291,84,01,Perrex
01293,84,01,Peyriat
01294,84,01,Peyrieu
01295,84,01,Peyzieux-sur-Saône
01296,84,01,Pirajoux
01297,84,01,Pizay
01298,84,01,Plagne
01299,84,01,Le Plantay
01301,84,01,Polliat
01302,84,01,Pollieu
01303,84,01,Poncin
01304,84,01,Pont-d'Ain
01305,84,01,Pont-de-Vaux
01306,84,01,Pont-de-Veyle
01307,84,01,Port
01308,84,01,Pougny
01309,84,01,Pouillat
01310,84,01,Prémeyzel
01311,84,01,Prémillieu
01313,84,01,Prévessin-Moëns
01314,84,01,Priay
01317,84,01,Ramasse
01318,84,01,Rancé
01319,84,01,Relevant
01320,84,01,Replonges
01321,84,01,Revonnas
01322,84,01,Reyrieux
01323,84,01,Reyssouze
01325,84,01,Rignieux-le-Franc
01328,84,01,Romans
01329,84,01,Rossillon
01330,84,01,Ruffieu
01331,84,01,Saint-Alban
01332,84,01,Saint-André-de-Bâgé
01333,84,01,Saint-André-de-Corcy
01334,84,01,Saint-André-d'Huiriat
01335,84,01,Saint-André-le-Bouchoux
01336,84,01,Saint-André-sur-Vieux-Jonc
01337,84,01,Saint-Bénigne
01338,84,01,Groslée-Saint-Benoit
01339,84,01,Saint-Bernard
01342,84,01,Sainte-Croix
01343,84,01,Saint-Cyr-sur-Menthon
01344,84,01,Saint-Denis-lès-Bourg
01345,84,01,Saint-Denis-en-Bugey
01346,84,01,Saint-Didier-d'Aussiat
01347,84,01,Saint-Didier-de-Formans
01348,84,01,Saint-Didier-sur-Chalaronne
01349,84,01,Saint-Éloi
01350,84,01,Saint-Étienne-du-Bois
01351,84,01,Saint-Étienne-sur-Chalaronne
01352,84,01,Saint-Étienne-sur-Reyssouze
01353,84,01,Sainte-Euphémie
01354,84,01,Saint-Genis-Pouilly
01355,84,01,Saint-Genis-sur-Menthon
01356,84,01,Saint-Georges-sur-Renon
01357,84,01,Saint-Germain-de-Joux
01358,84,01,Saint-Germain-les-Paroisses
01359,84,01,Saint-Germain-sur-Renon
01360,84,01,Saint-Jean-de-Gonville
01361,84,01,Saint-Jean-de-Niost
01362,84,01,Saint-Jean-de-Thurigneux
01363,84,01,Saint-Jean-le-Vieux
01364,84,01,Saint-Jean-sur-Reyssouze
01365,84,01,Saint-Jean-sur-Veyle
01366,84,01,Sainte-Julie
01367,84,01,Saint-Julien-sur-Reyssouze
01368,84,01,Saint-Julien-sur-Veyle
01369,84,01,Saint-Just
01370,84,01,Saint-Laurent-sur-Saône
01371,84,01,Saint-Marcel
01372,84,01,Saint-Martin-de-Bavel
01373,84,01,Saint-Martin-du-Frêne
01374,84,01,Saint-Martin-du-Mont
01375,84,01,Saint-Martin-le-Châtel
01376,84,01,Saint-Maurice-de-Beynost
01378,84,01,Saint-Maurice-de-Gourdans
01379,84,01,Saint-Maurice-de-Rémens
01380,84,01,Saint-Nizier-le-Bouchoux
01381,84,01,Saint-Nizier-le-Désert
01382,84,01,Sainte-Olive
01383,84,01,Saint-Paul-de-Varax
01384,84,01,Saint-Rambert-en-Bugey
01385,84,01,Saint-Rémy
01386,84,01,Saint-Sorlin-en-Bugey
01387,84,01,Saint-Sulpice
01388,84,01,Saint-Trivier-de-Courtes
01389,84,01,Saint-Trivier-sur-Moignans
01390,84,01,Saint-Vulbas
01391,84,01,Salavre
01392,84,01,Samognat
01393,84,01,Sandrans
01396,84,01,Sault-Brénaz
01397,84,01,Sauverny
01398,84,01,Savigneux
01399,84,01,Ségny
01400,84,01,Seillonnaz
01401,84,01,Sergy
01402,84,01,Sermoyer
01403,84,01,Serrières-de-Briord
01404,84,01,Serrières-sur-Ain
01405,84,01,Servas
01406,84,01,Servignat
01407,84,01,Seyssel
01408,84,01,Simandre-sur-Suran
01410,84,01,Sonthonnax-la-Montagne
01411,84,01,Souclin
01412,84,01,Sulignat
01415,84,01,Talissieu
01416,84,01,Tenay
01418,84,01,Thil
01419,84,01,Thoiry
01420,84,01,Thoissey
01421,84,01,Torcieu
01422,84,01,Tossiat
01423,84,01,Toussieux
01424,84,01,Tramoyes
01425,84,01,La Tranclière
01426,84,01,Val-Revermont
01427,84,01,Trévoux
01428,84,01,Valeins
01429,84,01,Vandeins
01430,84,01,Varambon
01431,84,01,Vaux-en-Bugey
01432,84,01,Verjon
01433,84,01,Vernoux
01434,84,01,Versailleux
01435,84,01,Versonnex
01436,84,01,Vesancy
01437,84,01,Vescours
01439,84,01,Vésines
01441,84,01,Vieu-d'Izenave
01443,84,01,Villars-les-Dombes
01444,84,01,Villebois
01445,84,01,Villemotier
01446,84,01,Villeneuve
01447,84,01,Villereversure
01448,84,01,Villes
01449,84,01,Villette-sur-Ain
01450,84,01,Villieu-Loyes-Mollon
01451,84,01,Viriat
01452,84,01,Virieu-le-Grand
01453,84,01,Arvière-en-Valromey
01454,84,01,Virignin
01456,84,01,Vongnes
01457,84,01,Vonnas
02001,32,02,Abbécourt
02002,32,02,Achery
02003,32,02,Acy
02004,32,02,Agnicourt-et-Séchelles
02005,32,02,Aguilcourt
02006,32,02,Aisonville-et-Bernoville
02007,32,02,Aizelles
02008,32,02,Aizy-Jouy
02009,32,02,Alaincourt
02010,32,02,Allemant
02011,32,02,Ambleny
02012,32,02,Ambrief
02013,32,02,Amifontaine
02014,32,02,Amigny-Rouy
02015,32,02,Ancienville
02016,32,02,Andelain
02017,32,02,Anguilcourt-le-Sart
02018,32,02,Anizy-le-Grand
02019,32,02,Annois
02020,32,02,Any-Martin-Rieux
02021,32,02,Archon
02022,32,02,Arcy-Sainte-Restitue
02023,32,02,Armentières-sur-Ourcq
02024,32,02,Arrancy
02025,32,02,Artemps
02027,32,02,Assis-sur-Serre
02028,32,02,Athies-sous-Laon
02029,32,02,Attilly
02030,32,02,Aubencheul-aux-Bois
02031,32,02,Aubenton
02032,32,02,Aubigny-aux-Kaisnes
02033,32,02,Aubigny-en-Laonnois
02034,32,02,Audignicourt
02035,32,02,Audigny
02036,32,02,Augy
02037,32,02,Aulnois-sous-Laon
02038,32,02,Les Autels
02039,32,02,Autremencourt
02040,32,02,Autreppes
02041,32,02,Autreville
02042,32,02,Azy-sur-Marne
02043,32,02,Bagneux
02044,32,02,Bancigny
02046,32,02,Barenton-Bugny
02047,32,02,Barenton-Cel
02048,32,02,Barenton-sur-Serre
02049,32,02,Barisis-aux-Bois
02050,32,02,Barzy-en-Thiérache
02051,32,02,Barzy-sur-Marne
02052,32,02,Bassoles-Aulers
02053,32,02,Vallées en Champagne
02054,32,02,Bazoches-et-Saint-Thibaut
02055,32,02,Beaumé
02056,32,02,Beaumont-en-Beine
02057,32,02,Beaurevoir
02058,32,02,Beaurieux
02059,32,02,Beautor
02060,32,02,Beauvois-en-Vermandois
02061,32,02,Becquigny
02062,32,02,Belleau
02063,32,02,Bellenglise
02064,32,02,Belleu
02065,32,02,Bellicourt
02066,32,02,Benay
02067,32,02,Bergues-sur-Sambre
02068,32,02,Berlancourt
02069,32,02,Berlise
02070,32,02,Bernot
02071,32,02,Berny-Rivière
02072,32,02,Berrieux
02073,32,02,Berry-au-Bac
02074,32,02,Bertaucourt-Epourdon
02075,32,02,Berthenicourt
02076,32,02,Bertricourt
02078,32,02,Besmé
02079,32,02,Besmont
02080,32,02,Besny-et-Loizy
02081,32,02,Béthancourt-en-Vaux
02082,32,02,Beugneux
02083,32,02,Beuvardes
02084,32,02,Bézu-le-Guéry
02085,32,02,Bézu-Saint-Germain
02086,32,02,Bichancourt
02087,32,02,Bieuxy
02088,32,02,Bièvres
02089,32,02,Billy-sur-Aisne
02090,32,02,Billy-sur-Ourcq
02091,32,02,Blanzy-lès-Fismes
02093,32,02,Blérancourt
02094,32,02,Blesmes
02095,32,02,Bohain-en-Vermandois
02096,32,02,Bois-lès-Pargny
02097,32,02,Boncourt
02098,32,02,Bonneil
02099,32,02,Bonnesvalyn
02100,32,02,Bony
02101,32,02,Bosmont-sur-Serre
02102,32,02,Bouconville-Vauclair
02103,32,02,Boué
02104,32,02,Bouffignereux
02105,32,02,Bouresches
02106,32,02,Bourg-et-Comin
02107,32,02,Bourguignon-sous-Coucy
02108,32,02,Bourguignon-sous-Montbavin
02109,32,02,La Bouteille
02110,32,02,Braine
02111,32,02,Brancourt-en-Laonnois
02112,32,02,Brancourt-le-Grand
02114,32,02,Brasles
02115,32,02,Braye-en-Laonnois
02116,32,02,Braye-en-Thiérache
02117,32,02,Bray-Saint-Christophe
02118,32,02,Braye
02119,32,02,Brécy
02120,32,02,Brenelle
02121,32,02,Breny
02122,32,02,Brie
02123,32,02,Brissay-Choigny
02124,32,02,Brissy-Hamégicourt
02125,32,02,Brumetz
02126,32,02,Brunehamel
02127,32,02,Bruyères-sur-Fère
02128,32,02,Bruyères-et-Montbérault
02129,32,02,Bruys
02130,32,02,Bucilly
02131,32,02,Bucy-le-Long
02132,32,02,Bucy-lès-Cerny
02133,32,02,Bucy-lès-Pierrepont
02134,32,02,Buire
02135,32,02,Buironfosse
02136,32,02,Burelles
02137,32,02,Bussiares
02138,32,02,Buzancy
02139,32,02,Caillouël-Crépigny
02140,32,02,Camelin
02141,32,02,La Capelle
02142,32,02,Castres
02143,32,02,Le Catelet
02144,32,02,Caulaincourt
02145,32,02,Caumont
02146,32,02,Celles-lès-Condé
02148,32,02,Celles-sur-Aisne
02149,32,02,Cerizy
02150,32,02,Cerny-en-Laonnois
02151,32,02,Cerny-lès-Bucy
02152,32,02,Cerseuil
02153,32,02,Cessières-Suzy
02154,32,02,Chacrise
02155,32,02,Chaillevois
02156,32,02,Chalandry
02157,32,02,Chambry
02158,32,02,Chamouille
02159,32,02,Champs
02160,32,02,Chaourse
02162,32,02,La Chapelle-sur-Chézy
02163,32,02,Charly-sur-Marne
02164,32,02,Le Charmel
02165,32,02,Charmes
02166,32,02,Chartèves
02167,32,02,Chassemy
02168,32,02,Château-Thierry
02169,32,02,Châtillon-lès-Sons
02170,32,02,Châtillon-sur-Oise
02171,32,02,Chaudardes
02172,32,02,Chaudun
02173,32,02,Chauny
02174,32,02,Chavignon
02175,32,02,Chavigny
02176,32,02,Chavonne
02177,32,02,Chérêt
02178,32,02,Chermizy-Ailles
02179,32,02,Chéry-Chartreuve
02180,32,02,Chéry-lès-Pouilly
02181,32,02,Chéry-lès-Rozoy
02182,32,02,Chevennes
02183,32,02,Chevregny
02184,32,02,Chevresis-Monceau
02185,32,02,Chézy-en-Orxois
02186,32,02,Chézy-sur-Marne
02187,32,02,Chierry
02188,32,02,Chigny
02189,32,02,Chivres-en-Laonnois
02190,32,02,Chivres-Val
02191,32,02,Chivy-lès-Étouvelles
02192,32,02,Chouy
02193,32,02,Cierges
02194,32,02,Cilly
02195,32,02,Ciry-Salsogne
02196,32,02,Clacy-et-Thierret
02197,32,02,Clairfontaine
02198,32,02,Clamecy
02199,32,02,Clastres
02200,32,02,Clermont-les-Fermes
02201,32,02,Cœuvres-et-Valsery
02203,32,02,Coincy
02204,32,02,Coingt
02205,32,02,Colligis-Crandelain
02206,32,02,Colonfay
02207,32,02,Commenchon
02208,32,02,Concevreux
02209,32,02,Condé-en-Brie
02210,32,02,Condé-sur-Aisne
02211,32,02,Condé-sur-Suippe
02212,32,02,Condren
02213,32,02,Connigis
02214,32,02,Contescourt
02215,32,02,Corbeny
02216,32,02,Corcy
02217,32,02,Coucy-le-Château-Auffrique
02218,32,02,Coucy-lès-Eppes
02219,32,02,Coucy-la-Ville
02220,32,02,Coulonges-Cohan
02221,32,02,Coupru
02222,32,02,Courbes
02223,32,02,Courboin
02224,32,02,Courcelles-sur-Vesle
02225,32,02,Courchamps
02226,32,02,Courmelles
02227,32,02,Courmont
02228,32,02,Courtemont-Varennes
02229,32,02,Courtrizy-et-Fussigny
02230,32,02,Couvrelles
02231,32,02,Couvron-et-Aumencourt
02232,32,02,Coyolles
02233,32,02,Cramaille
02234,32,02,Craonne
02235,32,02,Craonnelle
02236,32,02,Crécy-au-Mont
02237,32,02,Crécy-sur-Serre
02238,32,02,Crépy
02239,32,02,Crézancy
02240,32,02,Croix-Fonsomme
02241,32,02,La Croix-sur-Ourcq
02242,32,02,Crouttes-sur-Marne
02243,32,02,Crouy
02244,32,02,Crupilly
02245,32,02,Cuffies
02246,32,02,Cugny
02248,32,02,Cuirieux
02249,32,02,Cuiry-Housse
02250,32,02,Cuiry-lès-Chaudardes
02251,32,02,Cuiry-lès-Iviers
02252,32,02,Cuissy-et-Geny
02253,32,02,Cuisy-en-Almont
02254,32,02,Cutry
02255,32,02,Cys-la-Commune
02256,32,02,Dagny-Lambercy
02257,32,02,Dallon
02258,32,02,Dammard
02259,32,02,Dampleux
02260,32,02,Danizy
02261,32,02,Dercy
02262,32,02,Deuillet
02263,32,02,Dhuizel
02264,32,02,Dizy-le-Gros
02265,32,02,Dohis
02266,32,02,Dolignon
02267,32,02,Dommiers
02268,32,02,Domptin
02269,32,02,Dorengt
02270,32,02,Douchy
02271,32,02,Dravegny
02272,32,02,Droizy
02273,32,02,Dury
02274,32,02,Ébouleau
02275,32,02,Effry
02276,32,02,Englancourt
02277,32,02,Épagny
02278,32,02,Éparcy
02279,32,02,Épaux-Bézu
02280,32,02,Épieds
02281,32,02,L'Épine-aux-Bois
02282,32,02,Eppes
02283,32,02,Erlon
02284,32,02,Erloy
02286,32,02,Esquéhéries
02287,32,02,Essigny-le-Grand
02288,32,02,Essigny-le-Petit
02289,32,02,Essises
02290,32,02,Essômes-sur-Marne
02291,32,02,Estrées
02292,32,02,Étampes-sur-Marne
02293,32,02,Étaves-et-Bocquiaux
02294,32,02,Étouvelles
02295,32,02,Étréaupont
02296,32,02,Étreillers
02297,32,02,Étrépilly
02298,32,02,Étreux
02299,32,02,Évergnicourt
02302,32,02,Faverolles
02303,32,02,Fayet
02304,32,02,La Fère
02305,32,02,Fère-en-Tardenois
02306,32,02,La Ferté-Chevresis
02307,32,02,La Ferté-Milon
02308,32,02,Fesmy-le-Sart
02309,32,02,Festieux
02310,32,02,Fieulaine
02311,32,02,Filain
02312,32,02,La Flamengrie
02313,32,02,Flavigny-le-Grand-et-Beaurain
02315,32,02,Flavy-le-Martel
02316,32,02,Fleury
02317,32,02,Fluquières
02318,32,02,Folembray
02319,32,02,Fonsomme
02320,32,02,Fontaine-lès-Clercs
02321,32,02,Fontaine-lès-Vervins
02322,32,02,Fontaine-Notre-Dame
02323,32,02,Fontaine-Uterte
02324,32,02,Fontenelle
02326,32,02,Fontenoy
02327,32,02,Foreste
02328,32,02,Fossoy
02329,32,02,Fourdrain
02330,32,02,Francilly-Selency
02331,32,02,Franqueville
02332,32,02,Fresnes-en-Tardenois
02333,32,02,Fresnes-sous-Coucy
02334,32,02,Fresnoy-le-Grand
02335,32,02,Fressancourt
02336,32,02,Frières-Faillouël
02337,32,02,Froidestrées
02338,32,02,Froidmont-Cohartille
02339,32,02,Gandelu
02340,32,02,Gauchy
02341,32,02,Gercy
02342,32,02,Gergny
02343,32,02,Germaine
02345,32,02,Gibercourt
02346,32,02,Gizy
02347,32,02,Gland
02349,32,02,Goudelancourt-lès-Berrieux
02350,32,02,Goudelancourt-lès-Pierrepont
02351,32,02,Goussancourt
02352,32,02,Gouy
02353,32,02,Grandlup-et-Fay
02354,32,02,Grandrieux
02355,32,02,Gricourt
02356,32,02,Grisolles
02357,32,02,Gronard
02358,32,02,Grougis
02359,32,02,Grugies
02360,32,02,Villeneuve-sur-Aisne
02361,32,02,Guise
02362,32,02,Guivry
02363,32,02,Guny
02364,32,02,Guyencourt
02366,32,02,Hannapes
02367,32,02,Happencourt
02368,32,02,Haramont
02369,32,02,Harcigny
02370,32,02,Hargicourt
02371,32,02,Harly
02372,32,02,Hartennes-et-Taux
02373,32,02,Hary
02374,32,02,Lehaucourt
02375,32,02,Hautevesnes
02376,32,02,Hauteville
02377,32,02,Haution
02378,32,02,La Hérie
02379,32,02,Le Hérie-la-Viéville
02380,32,02,Hinacourt
02381,32,02,Hirson
02382,32,02,Holnon
02383,32,02,Homblières
02384,32,02,Houry
02385,32,02,Housset
02386,32,02,Iron
02387,32,02,Itancourt
02388,32,02,Iviers
02389,32,02,Jaulgonne
02390,32,02,Jeancourt
02391,32,02,Jeantes
02392,32,02,Joncourt
02393,32,02,Jouaignes
02395,32,02,Jumencourt
02396,32,02,Jumigny
02397,32,02,Jussy
02398,32,02,Juvigny
02399,32,02,Juvincourt-et-Damary
02400,32,02,Laffaux
02401,32,02,Laigny
02402,32,02,Lanchy
02403,32,02,Landifay-et-Bertaignemont
02404,32,02,Landouzy-la-Cour
02405,32,02,Landouzy-la-Ville
02406,32,02,Landricourt
02407,32,02,Laniscourt
02408,32,02,Laon
02409,32,02,Lappion
02410,32,02,Largny-sur-Automne
02411,32,02,Latilly
02412,32,02,Launoy
02413,32,02,Laval-en-Laonnois
02414,32,02,Lavaqueresse
02415,32,02,Laversine
02416,32,02,Lemé
02417,32,02,Lempire
02418,32,02,Lerzy
02419,32,02,Leschelle
02420,32,02,Lesdins
02421,32,02,Lesges
02422,32,02,Lesquielles-Saint-Germain
02423,32,02,Leuilly-sous-Coucy
02424,32,02,Leury
02425,32,02,Leuze
02426,32,02,Levergies
02427,32,02,Lhuys
02428,32,02,Licy-Clignon
02429,32,02,Lierval
02430,32,02,Liesse-Notre-Dame
02431,32,02,Liez
02432,32,02,Limé
02433,32,02,Lislet
02435,32,02,Logny-lès-Aubenton
02438,32,02,Longpont
02439,32,02,Les Septvallons
02440,32,02,Lor
02441,32,02,Louâtre
02442,32,02,Loupeigne
02443,32,02,Lucy-le-Bocage
02444,32,02,Lugny
02445,32,02,Luzoir
02446,32,02,Ly-Fontaine
02447,32,02,Maast-et-Violaine
02448,32,02,Mâchecourt
02449,32,02,Macogny
02450,32,02,Macquigny
02451,32,02,Magny-la-Fosse
02452,32,02,Maissemy
02453,32,02,Maizy
02454,32,02,La Malmaison
02455,32,02,Malzy
02456,32,02,Manicamp
02457,32,02,Marchais
02458,32,02,Dhuys et Morin-en-Brie
02459,32,02,Marcy
02460,32,02,Marcy-sous-Marle
02461,32,02,Marest-Dampcourt
02462,32,02,Mareuil-en-Dôle
02463,32,02,Marfontaine
02464,32,02,Margival
02465,32,02,Marigny-en-Orxois
02466,32,02,Marizy-Sainte-Geneviève
02467,32,02,Marizy-Saint-Mard
02468,32,02,Marle
02469,32,02,Marly-Gomont
02470,32,02,Martigny
02471,32,02,Martigny-Courpierre
02472,32,02,Mauregny-en-Haye
02473,32,02,Mayot
02474,32,02,Mennessis
02476,32,02,Mennevret
02477,32,02,Mercin-et-Vaux
02478,32,02,Merlieux-et-Fouquerolles
02480,32,02,Mesbrecourt-Richecourt
02481,32,02,Mesnil-Saint-Laurent
02482,32,02,Meurival
02483,32,02,Mézières-sur-Oise
02484,32,02,Mézy-Moulins
02485,32,02,Missy-aux-Bois
02486,32,02,Missy-lès-Pierrepont
02487,32,02,Missy-sur-Aisne
02488,32,02,Molain
02489,32,02,Molinchart
02490,32,02,Monampteuil
02491,32,02,Monceau-le-Neuf-et-Faucouzy
02492,32,02,Monceau-lès-Leups
02493,32,02,Monceau-le-Waast
02494,32,02,Monceau-sur-Oise
02495,32,02,Mondrepuis
02496,32,02,Monnes
02497,32,02,Mons-en-Laonnois
02498,32,02,Montaigu
02499,32,02,Montbavin
02500,32,02,Montbrehain
02501,32,02,Montchâlons
02502,32,02,Montcornet
02503,32,02,Mont-d'Origny
02504,32,02,Montescourt-Lizerolles
02505,32,02,Montfaucon
02506,32,02,Montgobert
02507,32,02,Montgru-Saint-Hilaire
02508,32,02,Monthenault
02509,32,02,Monthiers
02510,32,02,Monthurel
02511,32,02,Montigny-en-Arrouaise
02512,32,02,Montigny-l'Allier
02513,32,02,Montigny-le-Franc
02514,32,02,Montigny-Lengrain
02515,32,02,Montigny-lès-Condé
02516,32,02,Montigny-sous-Marle
02517,32,02,Montigny-sur-Crécy
02518,32,02,Montlevon
02519,32,02,Montloué
02520,32,02,Mont-Notre-Dame
02521,32,02,Montreuil-aux-Lions
02522,32,02,Mont-Saint-Jean
02523,32,02,Mont-Saint-Martin
02524,32,02,Mont-Saint-Père
02525,32,02,Morcourt
02526,32,02,Morgny-en-Thiérache
02527,32,02,Morsain
02528,32,02,Mortefontaine
02529,32,02,Mortiers
02530,32,02,Moulins
02531,32,02,Moussy-Verneuil
02532,32,02,Moÿ-de-l'Aisne
02533,32,02,Muret-et-Crouttes
02534,32,02,Muscourt
02535,32,02,Nampcelles-la-Cour
02536,32,02,Nampteuil-sous-Muret
02537,32,02,Nanteuil-la-Fosse
02538,32,02,Nanteuil-Notre-Dame
02539,32,02,Nauroy
02540,32,02,Nesles-la-Montagne
02541,32,02,Neufchâtel-sur-Aisne
02542,32,02,Neuflieux
