code_fap_341,intitule_fap_341,code_fap_228,intitule_fap_228,code_fap_86,intitule_fap_86,code_fap_22,intitule_fap_22
A0X40,Agriculteurs,A0X40,Agriculteurs,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X41a,Eleveurs de bovins ou d'équins,A0X41,Eleveurs,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X41b,"Eleveurs d'insectes, d'animaux sauvages ou de compagnie",A0X41,Eleveurs,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X41c,Eleveurs de lapins et volailles,A0X41,Eleveurs,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X41d,Eleveurs d'ovins ou de caprins,A0X41,Eleveurs,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X41e,Eleveurs de porcins,A0X41,Eleveurs,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X41f,Aides d'éleveurs,A0X41,Eleveurs,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X42a,Bûcherons et élagueurs,A0X42,"Bûcherons, sylviculteurs et agents forestiers",A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X42b,"Sylviculteurs, agents forestiers et agents de protection des espaces naturels",A0X42,"Bûcherons, sylviculteurs et agents forestiers",A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A0X43,Conducteurs d'engins agricoles ou forestiers,A0X43,Conducteurs d'engins agricoles ou forestiers,A0X,"Agriculteurs, éleveurs, sylviculteurs, bûcherons",A,"Agriculture, marine, pêche"
A1X40,Maraîchers et horticulteurs,A1X40,Maraîchers et horticulteurs,A1X,"Maraîchers, jardiniers, viticulteurs",A,"Agriculture, marine, pêche"
A1X41,Jardiniers des espaces verts et naturels,A1X41,Jardiniers des espaces verts et naturels,A1X,"Maraîchers, jardiniers, viticulteurs",A,"Agriculture, marine, pêche"
A1X42,"Viticulteurs, arboriculteurs",A1X42,"Viticulteurs, arboriculteurs",A1X,"Maraîchers, jardiniers, viticulteurs",A,"Agriculture, marine, pêche"
A2X70a,Techniciens et agents de conseil et assistance technique en agriculture,A2X70,Techniciens et agents d'encadrement d'exploitations agricoles,A2X,Techniciens et cadres de l'agriculture,A,"Agriculture, marine, pêche"
A2X70b,Techniciens et agents de contrôle et diagnostic technique en agriculture,A2X70,Techniciens et agents d'encadrement d'exploitations agricoles,A2X,Techniciens et cadres de l'agriculture,A,"Agriculture, marine, pêche"
A2X70c,"Techniciens et agents de maîtrise en agriculture, élevage et environnement naturel",A2X70,Techniciens et agents d'encadrement d'exploitations agricoles,A2X,Techniciens et cadres de l'agriculture,A,"Agriculture, marine, pêche"
A2X90,"Ingénieurs, cadres techniques de l'agriculture",A2X90,"Ingénieurs, cadres techniques de l'agriculture",A2X,Techniciens et cadres de l'agriculture,A,"Agriculture, marine, pêche"
A3X40a,Aquaculteurs et saliculteurs,A3X40,Pêcheurs et aquaculteurs,A3X,"Marins, pêcheurs, aquaculteurs",A,"Agriculture, marine, pêche"
A3X40b,Marins d'équipage de pêche,A3X40,Pêcheurs et aquaculteurs,A3X,"Marins, pêcheurs, aquaculteurs",A,"Agriculture, marine, pêche"
A3X41,Marins,A3X41,Marins,A3X,"Marins, pêcheurs, aquaculteurs",A,"Agriculture, marine, pêche"
A3X90,Cadres et maîtres d'équipage de la marine,A3X90,Cadres et maîtres d'équipage de la marine,A3X,"Marins, pêcheurs, aquaculteurs",A,"Agriculture, marine, pêche"
B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,B0X30,Ouvriers peu qualifiés de l'extraction et des travaux publics,B0X,"Ouvriers des travaux publics, du béton et de l'extraction",B,"Bâtiment, travaux publics"
B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,B0X31,Ouvriers qualifiés de l'extraction et des travaux publics,B0X,"Ouvriers des travaux publics, du béton et de l'extraction",B,"Bâtiment, travaux publics"
B0X32a,Ouvriers peu qualifiés en construction en béton,B0X32,Ouvriers de la construction en béton,B0X,"Ouvriers des travaux publics, du béton et de l'extraction",B,"Bâtiment, travaux publics"
B0X32b,Ouvriers qualifiés en construction en béton,B0X32,Ouvriers de la construction en béton,B0X,"Ouvriers des travaux publics, du béton et de l'extraction",B,"Bâtiment, travaux publics"
B1X30,Maçons peu qualifiés,B1X30,Maçons peu qualifiés,B1X,Ouvriers du gros œuvre du bâtiment,B,"Bâtiment, travaux publics"
B1X31,Maçons qualifiés,B1X31,Maçons qualifiés,B1X,Ouvriers du gros œuvre du bâtiment,B,"Bâtiment, travaux publics"
B1X33a,Charpentiers peu qualifiés,B1X33,Charpentiers (métal et bois),B1X,Ouvriers du gros œuvre du bâtiment,B,"Bâtiment, travaux publics"
B1X33b,Charpentiers qualifiés,B1X33,Charpentiers (métal et bois),B1X,Ouvriers du gros œuvre du bâtiment,B,"Bâtiment, travaux publics"
B1X34a,Couvreurs peu qualifiés,B1X34,Couvreurs,B1X,Ouvriers du gros œuvre du bâtiment,B,"Bâtiment, travaux publics"
B1X34b,Couvreurs qualifiés,B1X34,Couvreurs,B1X,Ouvriers du gros œuvre du bâtiment,B,"Bâtiment, travaux publics"
B1X38,Professionnels du travail de la pierre et des matériaux associés,B1X38,Professionnels du travail de la pierre et des matériaux associés,B1X,Ouvriers du gros œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X30a,Ouvriers peu qualifiés en pose et décoration de revêtements,B2X30,Ouvriers en pose et décoration de revêtements,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X30b,Ouvriers qualifiés en pose et décoration de revêtements,B2X30,Ouvriers en pose et décoration de revêtements,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X31a,"Ouvriers peu qualifiés en travaux de façade, d'étanchéité et d'isolation",B2X31,"Ouvriers en travaux de façade, d'étanchéité et d'isolation",B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X31b,"Ouvriers qualifiés en travaux de façade, d'étanchéité et d'isolation",B2X31,"Ouvriers en travaux de façade, d'étanchéité et d'isolation",B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X32a,Ouvriers peu qualifiés en électricité du bâtiment,B2X32,Ouvriers en électricité du bâtiment,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X32b,Ouvriers qualifiés en électricité du bâtiment,B2X32,Ouvriers en électricité du bâtiment,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X33a,"Plombiers, chauffagistes peu qualifiés",B2X33,Plombiers chauffagistes,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X33b,"Plombiers, chauffagistes qualifiés",B2X33,Plombiers chauffagistes,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X35,Ouvriers en montage réseaux électriques et télécoms,B2X35,Ouvriers en montage réseaux électriques et télécoms,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X36a,Ouvriers peu qualifiés en peinture en bâtiment,B2X36,Ouvriers en peinture en bâtiment,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X36b,Ouvriers qualifiés en peinture en bâtiment,B2X36,Ouvriers en peinture en bâtiment,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X37,Ouvriers peu qualifiés en menuiserie et en agencement du BTP,B2X37,Ouvriers peu qualifiés en menuiserie et en agencement du BTP,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B2X38,Ouvriers qualifiés en menuiserie et en agencement du BTP,B2X38,Ouvriers qualifiés en menuiserie et en agencement du BTP,B2X,Ouvriers du second œuvre du bâtiment,B,"Bâtiment, travaux publics"
B5X40a,Conducteurs de grue,B5X40,Conducteurs d'engins du bâtiment et des travaux publics,B5X,Conducteurs d'engins du bâtiment et des travaux publics,B,"Bâtiment, travaux publics"
B5X40b,Conducteurs d'engins de terrassement et de carrière,B5X40,Conducteurs d'engins du bâtiment et des travaux publics,B5X,Conducteurs d'engins du bâtiment et des travaux publics,B,"Bâtiment, travaux publics"
B6X70,Géomètres,B6X70,Géomètres,B6X,"Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics",B,"Bâtiment, travaux publics"
B6X71a,"Techniciens et agents de maîtrise des études BTP, des études géologiques et du contrôle et diagnostic technique du BTP",B6X71,Techniciens experts et chargés d’études du BTP,B6X,"Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics",B,"Bâtiment, travaux publics"
B6X71d,Techniciens et agents de maîtrise du métré de la construction,B6X71,Techniciens experts et chargés d’études du BTP,B6X,"Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics",B,"Bâtiment, travaux publics"
B6X72,Dessinateurs en bâtiment et en travaux publics,B6X72,Dessinateurs en bâtiment et en travaux publics,B6X,"Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics",B,"Bâtiment, travaux publics"
B6X73,Techniciens et agents de maîtrise de chantiers du BTP ,B6X73,Techniciens et agents de maîtrise de chantiers du BTP ,B6X,"Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics",B,"Bâtiment, travaux publics"
B6X74,Conducteurs de travaux et chefs de chantier non cadres,B6X74,Conducteurs de travaux et chefs de chantier non cadres,B6X,"Techniciens, agents de maîtrise et assimilés du bâtiment et des travaux publics",B,"Bâtiment, travaux publics"
B7X90,Architectes,B7X90,Architectes,B7X,Cadres du bâtiment et des travaux publics,B,"Bâtiment, travaux publics"
B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP ",B7X91,"Cadres des études BTP, des études géologiques, du métré de la construction et du contrôle et diagnostic technique du BTP ",B7X,Cadres du bâtiment et des travaux publics,B,"Bâtiment, travaux publics"
B7X92e,Cadres de la conduite de travaux du BTP et de la direction en entretien des infrastructures et du bâti,B7X92,"Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres)",B7X,Cadres du bâtiment et des travaux publics,B,"Bâtiment, travaux publics"
B7X92f,Cadres en Direction de chantier du BTP,B7X92,"Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres)",B7X,Cadres du bâtiment et des travaux publics,B,"Bâtiment, travaux publics"
B7X92g,Cadres en Direction et ingénierie d'exploitation de gisements et de carrières,B7X92,"Ingénieurs du bâtiment et des travaux publics, chefs de chantier et conducteurs de travaux (cadres)",B7X,Cadres du bâtiment et des travaux publics,B,"Bâtiment, travaux publics"
C0X30a,Ouvriers peu qualifiés de l'électricité et de l'électronique,C0X30,Ouvriers de l'électricité et de l'électronique,C0X,Ouvriers de l'électricité et de l'électronique,C,"Électricité, électronique"
C0X30b,Ouvriers qualifiés de l'électricité et de l'électronique,C0X30,Ouvriers de l'électricité et de l'électronique,C0X,Ouvriers de l'électricité et de l'électronique,C,"Électricité, électronique"
C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",C2X70,"Techniciens, agents de maîtrise et assimilés en électricité et en électronique",C2X,"Techniciens, agents de maîtrise et assimilés de l'électricité et de l'électronique",C,"Électricité, électronique"
D0X30,Ouvriers peu qualifiés en conduite d'équipement d'usinage,D0X30,Ouvriers peu qualifiés en conduite d'équipement d'usinage,D0X,Ouvriers travaillant par enlèvement de métal,D,"Mécanique, travail des métaux"
D0X31,Ouvriers qualifiés en conduite d'équipement d'usinage,D0X31,Ouvriers qualifiés en conduite d'équipement d'usinage,D0X,Ouvriers travaillant par enlèvement de métal,D,"Mécanique, travail des métaux"
D0X33,Régleurs,D0X33,Régleurs,D0X,Ouvriers travaillant par enlèvement de métal,D,"Mécanique, travail des métaux"
D1X30a,Ouvriers peu qualifiés en chaudronnerie et tôlerie,D1X30,Ouvriers en chaudronnerie et tôlerie,D1X,Ouvriers travaillant par formage de métal,D,"Mécanique, travail des métaux"
D1X30b,Ouvriers qualifiés en chaudronnerie et tôlerie,D1X30,Ouvriers en chaudronnerie et tôlerie,D1X,Ouvriers travaillant par formage de métal,D,"Mécanique, travail des métaux"
D1X32,Tuyauteurs,D1X32,Tuyauteurs,D1X,Ouvriers travaillant par formage de métal,D,"Mécanique, travail des métaux"
D1X33a,Ouvriers peu qualifiés en soudage,D1X33,Soudeurs,D1X,Ouvriers travaillant par formage de métal,D,"Mécanique, travail des métaux"
D1X33b,Ouvriers qualifiés en soudage,D1X33,Soudeurs,D1X,Ouvriers travaillant par formage de métal,D,"Mécanique, travail des métaux"
D2X30,"Ouvriers peu qualifiés en ajustement, montage et assemblage mécanique",D2X30,"Ouvriers peu qualifiés en ajustement, montage et assemblage mécanique",D2X,Ouvriers de la mécanique et du traitement de surface,D,"Mécanique, travail des métaux"
D2X31,"Ouvriers qualifiés en ajustement, montage et assemblage mécanique",D2X31,"Ouvriers qualifiés en ajustement, montage et assemblage mécanique",D2X,Ouvriers de la mécanique et du traitement de surface,D,"Mécanique, travail des métaux"
D2X32,Ouvriers de la peinture et du traitement de surface,D2X32,Ouvriers de la peinture et du traitement de surface,D2X,Ouvriers de la mécanique et du traitement de surface,D,"Mécanique, travail des métaux"
D6X70,Techniciens en mécanique et travail des métaux,D6X70,Techniciens en mécanique et travail des métaux,D6X,Techniciens et agents de maîtrise des industries mécaniques,D,"Mécanique, travail des métaux"
D6X80,Agents de maîtrise et assimilés en fabrication mécanique,D6X80,Agents de maîtrise et assimilés en fabrication mécanique,D6X,Techniciens et agents de maîtrise des industries mécaniques,D,"Mécanique, travail des métaux"
E0X30,Pilotes d'installation lourdes des industries de transformation et d'énergie,E0X30,Pilotes d'installation lourdes des industries de transformation et d'énergie,E0X,Pilotes d'installation lourdes des industries de transformation et d'énergie,E,Industries de process
E1X21,Ouvriers peu qualifiés de conduite d'installation de production de métaux,E1X21,Ouvriers peu qualifiés de conduite d'installation de production de métaux,E1X,"Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction",E,Industries de process
E1X30a,"Ouvriers peu qualifiés de l'industrie verrière, céramique et matériaux de construction",E1X30,"Ouvriers de l'industrie verrière, céramique et matériaux de construction",E1X,"Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction",E,Industries de process
E1X30b,"Ouvriers qualifiés de l'industrie verrière, céramique et matériaux de construction",E1X30,"Ouvriers de l'industrie verrière, céramique et matériaux de construction",E1X,"Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction",E,Industries de process
E1X41,Ouvriers qualifiés de conduite d'installation de production de métaux,E1X41,Ouvriers qualifiés de conduite d'installation de production de métaux,E1X,"Ouvriers de la métallurgie, du verre, de la céramique et des matériaux de construction",E,Industries de process
E2X20,Ouvriers peu qualifiés des industries chimiques et plastiques,E2X20,Ouvriers peu qualifiés des industries chimiques et plastiques,E2X,Ouvriers des industries chimiques et plastiques,E,Industries de process
