AGE;GEO;GEO_OBJECT;RP_MEASURE;SEX;TIME_PERIOD;OBS_VALUE
_T;75056;COM;POP;_T;2022;2113705.0
_T;13055;COM;POP;_T;2022;877215.0
_T;69123;COM;POP;_T;2022;520774.0
_T;31555;COM;POP;_T;2022;511684.0
_T;06088;COM;POP;_T;2022;353701.0
_T;44109;COM;POP;_T;2022;325070.0
_T;34172;COM;POP;_T;2022;307101.0
_T;67482;COM;POP;_T;2022;291709.0
_T;33063;COM;POP;_T;2022;265328.0
_T;59350;COM;POP;_T;2022;238695.0
_T;35238;COM;POP;_T;2022;227830.0
_T;83137;COM;POP;_T;2022;180834.0
_T;51454;COM;POP;_T;2022;178478.0
_T;42218;COM;POP;_T;2022;172569.0
_T;76351;COM;POP;_T;2022;166462.0
_T;69266;COM;POP;_T;2022;162207.0
_T;21231;COM;POP;_T;2022;159941.0
_T;49007;COM;POP;_T;2022;157555.0
_T;38185;COM;POP;_T;2022;156389.0
_T;97411;COM;POP;_T;2022;156149.0
_T;30189;COM;POP;_T;2022;150444.0
_T;93066;COM;POP;_T;2022;148907.0
_T;13001;COM;POP;_T;2022;147933.0
_T;63113;COM;POP;_T;2022;147751.0
_T;72181;COM;POP;_T;2022;145182.0
_T;29019;COM;POP;_T;2022;140993.0
_T;37261;COM;POP;_T;2022;138668.0
_T;80021;COM;POP;_T;2022;134780.0
_T;74010;COM;POP;_T;2022;131272.0
_T;87085;COM;POP;_T;2022;129754.0
_T;57463;COM;POP;_T;2022;121695.0
_T;66136;COM;POP;_T;2022;120996.0
_T;92012;COM;POP;_T;2022;120205.0
_T;25056;COM;POP;_T;2022;120057.0
_T;45234;COM;POP;_T;2022;116344.0
_T;76540;COM;POP;_T;2022;116331.0
_T;93048;COM;POP;_T;2022;110758.0
_T;14118;COM;POP;_T;2022;108398.0
_T;95018;COM;POP;_T;2022;107135.0
_T;97415;COM;POP;_T;2022;106220.0
_T;68224;COM;POP;_T;2022;104924.0
_T;54395;COM;POP;_T;2022;104387.0
_T;59512;COM;POP;_T;2022;99507.0
_T;59599;COM;POP;_T;2022;99160.0
_T;92050;COM;POP;_T;2022;98119.0
_T;94081;COM;POP;_T;2022;95282.0
_T;94028;COM;POP;_T;2022;92859.0
_T;84007;COM;POP;_T;2022;91760.0
_T;92004;COM;POP;_T;2022;91457.0
_T;92025;COM;POP;_T;2022;90692.0
